11.11.2011	9:55:51
A
Mass	Value
0,000	1,388683E-12
0,031	7,813469E-13
0,063	4,449278E-13
0,094	3,247159E-13
0,125	3,257577E-13
0,156	4,476667E-13
0,188	7,858368E-13
0,219	1,396710E-12
0,250	2,141423E-12
0,281	2,755547E-12
0,313	3,098899E-12
0,344	3,230020E-12
0,375	3,265396E-12
0,406	3,273362E-12
0,438	3,276134E-12
0,469	3,278365E-12
0,500	3,279037E-12
0,531	3,272254E-12
0,563	3,248390E-12
0,594	3,200310E-12
0,625	3,131540E-12
0,656	3,056109E-12
0,688	2,989672E-12
0,719	2,950964E-12
0,750	2,984743E-12
0,781	3,187222E-12
0,813	3,695972E-12
0,844	4,629194E-12
0,875	6,021200E-12
0,906	7,803814E-12
0,938	9,817266E-12
0,969	1,185934E-11
1,000	1,380944E-11
1,031	1,571377E-11
1,063	1,769568E-11
1,094	1,978667E-11
1,125	2,224584E-11
1,156	2,406588E-11
1,188	2,538036E-11
1,219	2,609546E-11
1,250	2,619792E-11
1,281	2,563496E-11
1,313	2,423732E-11
1,344	2,174444E-11
1,375	1,798250E-11
1,406	1,321802E-11
1,438	8,360988E-12
1,469	4,547129E-12
1,500	2,385382E-12
1,531	1,707228E-12
1,563	1,958374E-12
1,594	2,645262E-12
1,625	3,483395E-12
1,656	4,351644E-12
1,688	5,214317E-12
1,719	6,061980E-12
1,750	6,878725E-12
1,781	7,637390E-12
1,813	8,310071E-12
1,844	8,876167E-12
1,875	9,325003E-12
1,906	9,660321E-12
1,938	9,903489E-12
1,969	1,008545E-11
2,000	1,022762E-11
2,031	1,032557E-11
2,063	1,035234E-11
2,094	1,028383E-11
2,125	1,011948E-11
2,156	9,878842E-12
2,188	9,594174E-12
2,219	9,302318E-12
2,250	9,006946E-12
2,281	8,647766E-12
2,313	8,136321E-12
2,344	7,404081E-12
2,375	6,395055E-12
2,406	5,078259E-12
2,438	3,551098E-12
2,469	2,091106E-12
2,500	9,965294E-13
2,531	3,700179E-13
2,563	1,016820E-13
2,594	1,872453E-14
2,625	2,279424E-15
2,656	1,685009E-15
2,688	3,222822E-15
2,719	5,388893E-15
2,750	9,429767E-15
2,781	1,600085E-14
2,813	2,324931E-14
2,844	2,791779E-14
2,875	2,903173E-14
2,906	2,921492E-14
2,938	3,136892E-14
2,969	3,550046E-14
3,000	3,983905E-14
3,031	4,359164E-14
3,063	4,729168E-14
3,094	5,112711E-14
3,125	5,428073E-14
3,156	5,604195E-14
3,188	5,663217E-14
3,219	5,694575E-14
3,250	5,802018E-14
3,281	6,034556E-14
3,313	6,339710E-14
3,344	6,587787E-14
3,375	6,655257E-14
3,406	6,528150E-14
3,438	6,288508E-14
3,469	6,000942E-14
3,500	5,728421E-14
3,531	5,595789E-14
3,563	5,661237E-14
3,594	5,797569E-14
3,625	5,848013E-14
3,656	5,829654E-14
3,688	5,863479E-14
3,719	5,981903E-14
3,750	6,142801E-14
3,781	6,320815E-14
3,813	6,455641E-14
3,844	6,466883E-14
3,875	6,397420E-14
3,906	6,408967E-14
3,938	6,610539E-14
3,969	6,926833E-14
4,000	7,155029E-14
4,031	7,157565E-14
4,063	6,933478E-14
4,094	6,540265E-14
4,125	6,056235E-14
4,156	5,575644E-14
4,188	5,182201E-14
4,219	4,953514E-14
4,250	4,939258E-14
4,281	5,079838E-14
4,313	5,212867E-14
4,344	5,204844E-14
4,375	5,055484E-14
4,406	4,853640E-14
4,438	4,658378E-14
4,469	4,501717E-14
4,500	4,461747E-14
4,531	4,572768E-14
4,563	4,689848E-14
4,594	4,633168E-14
4,625	4,435654E-14
4,656	4,278706E-14
4,688	4,280611E-14
4,719	4,441064E-14
4,750	4,668469E-14
4,781	4,839919E-14
4,813	4,883849E-14
4,844	4,801346E-14
4,875	4,657512E-14
4,906	4,554436E-14
4,938	4,542342E-14
4,969	4,568227E-14
5,000	4,549516E-14
5,031	4,456861E-14
5,063	4,309458E-14
5,094	4,195929E-14
5,125	4,266231E-14
5,156	4,532350E-14
5,188	4,791422E-14
5,219	4,893169E-14
5,250	4,914754E-14
5,281	4,993037E-14
5,313	5,139966E-14
5,344	5,270588E-14
5,375	5,313929E-14
5,406	5,264784E-14
5,438	5,175782E-14
5,469	5,110438E-14
5,500	5,104058E-14
5,531	5,183261E-14
5,563	5,337328E-14
5,594	5,438108E-14
5,625	5,353676E-14
5,656	5,173568E-14
5,688	5,160183E-14
5,719	5,453649E-14
5,750	5,896303E-14
