"smaz.lda"
"Scan 1"
"Potential / V";"Current / A"
-13,9325;-8,68e-05
-13,9041;-8,64e-05
-13,886;-8,6e-05
-13,8544;-8,41e-05
-13,8327;-8,49e-05
-13,8108;-8,75e-05
-13,7859;-8,64e-05
-13,7577;-8,45e-05
-13,7259;-8,43e-05
-13,7108;-8,74e-05
-13,6826;-8,51e-05
-13,6509;-8,45e-05
-13,629;-8,75e-05
-13,6139;-8,89e-05
-13,5826;-8,55e-05
-13,5542;-8,6e-05
-13,5359;-8,6e-05
-13,5111;-8,43e-05
-13,4793;-8,49e-05
-13,4575;-8,68e-05
-13,4324;-8,79e-05
-13,4077;-8,49e-05
-13,3793;-8,41e-05
-13,3542;-8,57e-05
-13,3358;-8,7e-05
-13,3141;-8,7e-05
-13,2828;-8,38e-05
-13,2475;-8,45e-05
-13,2292;-8,58e-05
-13,2076;-8,55e-05
-13,186;-8,57e-05
-13,1576;-8,53e-05
-13,1325;-8,62e-05
-13,111;-8,51e-05
-13,0826;-8,51e-05
-13,0576;-8,57e-05
-13,0292;-8,57e-05
-13,0042;-8,58e-05
-12,9824;-8,72e-05
-12,9578;-8,34e-05
-12,936;-8,55e-05
-12,9043;-8,43e-05
-12,879;-8,74e-05
-12,8642;-8,6e-05
-12,836;-8,57e-05
-12,8112;-8,38e-05
-12,7824;-8,75e-05
-12,761;-8,55e-05
-12,7294;-8,39e-05
-12,7008;-8,58e-05
-12,6857;-8,85e-05
-12,6678;-8,47e-05
-12,6261;-8,22e-05
-12,5974;-8,6e-05
-12,589;-8,85e-05
-12,5579;-8,26e-05
-12,5292;-8,53e-05
-12,5076;-8,51e-05
-12,4827;-8,47e-05
-12,4574;-8,72e-05
-12,4361;-8,47e-05
-12,3972;-8,75e-05
-12,3827;-8,47e-05
-12,3542;-8,51e-05
-12,3327;-8,45e-05
-12,3108;-8,7e-05
-12,2826;-8,58e-05
-12,2611;-8,47e-05
-12,2324;-8,7e-05
-12,2075;-8,64e-05
-12,1828;-8,39e-05
-12,1542;-8,51e-05
-12,1324;-8,77e-05
-12,1112;-8,39e-05
-12,0827;-8,45e-05
-12,0576;-8,53e-05
-12,0359;-8,6e-05
-12,0111;-8,45e-05
-11,9826;-8,55e-05
-11,9575;-8,66e-05
-11,9326;-8,57e-05
-11,9112;-8,39e-05
-11,8791;-8,62e-05
-11,8608;-8,77e-05
-11,8395;-8,39e-05
-11,8046;-8,15e-05
-11,7793;-8,47e-05
-11,7642;-8,62e-05
-11,7326;-8,55e-05
-11,7078;-8,34e-05
-11,6758;-8,51e-05
-11,6576;-8,58e-05
-11,6393;-8,53e-05
-11,6078;-8,38e-05
-11,5861;-8,49e-05
-11,5577;-8,43e-05
-11,5328;-8,39e-05
-11,5078;-8,39e-05
-11,4826;-8,53e-05
-11,4576;-8,58e-05
-11,4357;-8,81e-05
-11,411;-8,55e-05
-11,3795;-8,26e-05
-11,3575;-8,64e-05
-11,3296;-8,2e-05
-11,3109;-8,66e-05
-11,2863;-8,28e-05
-11,2476;-8,36e-05
-11,2326;-8,58e-05
-11,2143;-8,58e-05
-11,176;-8,41e-05
-11,1539;-8,83e-05
-11,1393;-8,58e-05
-11,1011;-8,3e-05
-11,0791;-8,68e-05
-11,064;-8,85e-05
-11,0394;-8,45e-05
-11,0045;-8,26e-05
-10,9825;-8,66e-05
-10,9577;-8,47e-05
-10,9327;-8,47e-05
-10,911;-8,58e-05
-10,8825;-8,62e-05
-10,8577;-8,45e-05
-10,8294;-8,32e-05
-10,8044;-8,38e-05
-10,7825;-8,66e-05
-10,7613;-8,22e-05
-10,7329;-8,24e-05
-10,7075;-8,66e-05
-10,6927;-8,55e-05
-10,6579;-8,26e-05
-10,6292;-8,6e-05
-10,6141;-8,75e-05
-10,5826;-8,57e-05
-10,5576;-8,53e-05
-10,5361;-8,45e-05
-10,5075;-8,66e-05
-10,486;-8,55e-05
-10,4608;-8,7e-05
-10,4393;-8,53e-05
-10,4144;-8,47e-05
-10,3892;-8,66e-05
-10,3612;-8,32e-05
-10,3326;-8,57e-05
-10,3176;-8,62e-05
-10,2862;-8,36e-05
-10,2544;-8,34e-05
-10,2293;-8,45e-05
-10,2108;-8,77e-05
-10,1927;-8,55e-05
-10,1611;-8,43e-05
-10,1396;-8,3e-05
-10,1044;-8,38e-05
-10,0858;-8,77e-05
-10,0613;-8,3e-05
-10,0295;-8,3e-05
-10,0042;-8,53e-05
-9,98936;-8,49e-05
-9,96118;-8,38e-05
-9,936;-8,55e-05
-9,9145;-8,36e-05
-9,88278;-8,38e-05
-9,86087;-8,68e-05
-9,83923;-8,62e-05
-9,81447;-8,39e-05
-9,78613;-8,43e-05
-9,76087;-8,68e-05
-9,74605;-8,6e-05
-9,71425;-8,6e-05
-9,68642;-8,15e-05
-9,65073;-8,62e-05
-9,63251;-8,64e-05
-9,61445;-8,41e-05
-9,58618;-8,38e-05
-9,56421;-8,64e-05
-9,53604;-8,51e-05
-9,50777;-8,39e-05
-9,48609;-8,47e-05
-9,46432;-8,53e-05
-9,43939;-8,47e-05
-9,41129;-8,28e-05
-9,38277;-8,39e-05
