ASCII SCAN ANALOG DATA:			h2_1_5e.sac
DATE:	4/26/2012	TIME:	10:52:19 PM

Number of stored SCA cycles			1
Converted SCA cycle			1

INFO SCAN:		1
Data Titel	Countrate
Data Unit	cps
Scan Titel	Energy
Scan Unit	eV
Comment	
First Mass	-10.00
Scan Width	20
Values/Mass	64
Zoom Start	-10.00
Zoom End	 10.00

INFO ADDI DATA:		1
Title	Mass
Unit	amu
Comment	

Cycle	CycleDate	CycleTime	
1	4/26/2012	10:52:19 PM:74
AddiData	1
2
ScanData	1
 -10.00	159.949
  -9.98	159.949
  -9.97	63.9795
  -9.95	127.959
  -9.94	31.9898
  -9.92	95.9693
  -9.91	223.928
  -9.89	95.9693
  -9.88	127.959
  -9.86	63.9795
  -9.84	255.918
  -9.83	95.9693
  -9.81	223.928
  -9.80	127.959
  -9.78	95.9693
  -9.77	255.918
  -9.75	63.9795
  -9.73	319.898
  -9.72	95.9693
  -9.70	127.959
  -9.69	127.959
  -9.67	255.918
  -9.66	287.908
  -9.64	191.939
  -9.63	447.857
  -9.61	351.888
  -9.59	223.928
  -9.58	383.877
  -9.56	543.826
  -9.55	383.877
  -9.53	255.918
  -9.52	223.928
  -9.50	447.857
  -9.48	383.877
  -9.47	287.908
  -9.45	415.867
  -9.44	447.857
  -9.42	255.918
  -9.41	191.939
  -9.39	639.795
  -9.38	703.775
  -9.36	735.765
  -9.34	575.816
  -9.33	767.755
  -9.31	735.765
  -9.30	895.714
  -9.28	671.785
  -9.27	1087.65
  -9.25	767.755
  -9.23	927.703
  -9.22	991.683
  -9.20	1375.56
  -9.19	1439.54
  -9.17	831.734
  -9.16	991.683
  -9.14	1471.53
  -9.13	1599.49
  -9.11	1023.67
  -9.09	1567.5
  -9.08	1311.58
  -9.06	1695.46
  -9.05	2015.36
  -9.03	1823.42
  -9.02	1919.39
  -9.00	1759.44
  -8.98	2399.23
  -8.97	2527.19
  -8.95	2303.26
  -8.94	2623.16
  -8.92	2879.08
  -8.91	3198.98
  -8.89	3390.92
  -8.88	3135
  -8.86	3646.83
  -8.84	4062.7
  -8.83	3902.75
  -8.81	3518.88
