11.11.2011	9:22:01
A
Mass	Value
7,750	-4,233122E-14
7,781	-4,206609E-14
7,813	-4,021095E-14
7,844	-3,882627E-14
7,875	-3,920193E-14
7,906	-4,116072E-14
7,938	-4,365255E-14
7,969	-4,570020E-14
8,000	-4,657459E-14
8,031	-4,599240E-14
8,063	-4,483056E-14
8,094	-4,452740E-14
8,125	-4,530936E-14
8,156	-4,612701E-14
8,188	-4,627760E-14
8,219	-4,598703E-14
8,250	-4,571303E-14
8,281	-4,576848E-14
8,313	-4,637255E-14
8,344	-4,773139E-14
8,375	-4,994635E-14
8,406	-5,197798E-14
8,438	-5,120579E-14
8,469	-4,631622E-14
8,500	-4,014385E-14
8,531	-3,700862E-14
8,563	-3,796215E-14
8,594	-4,053796E-14
8,625	-4,202719E-14
8,656	-4,173173E-14
8,688	-4,071477E-14
8,719	-4,025770E-14
8,750	-4,082120E-14
8,781	-4,224161E-14
8,813	-4,420597E-14
8,844	-4,619908E-14
8,875	-4,734816E-14
8,906	-4,708906E-14
8,938	-4,614360E-14
8,969	-4,590102E-14
9,000	-4,669484E-14
9,031	-4,750992E-14
9,063	-4,755625E-14
9,094	-4,750891E-14
9,125	-4,859432E-14
9,156	-5,075903E-14
9,188	-5,277934E-14
9,219	-5,382800E-14
9,250	-5,355970E-14
9,281	-5,164055E-14
9,313	-4,866455E-14
9,344	-4,623374E-14
9,375	-4,521528E-14
9,406	-4,498811E-14
9,438	-4,465142E-14
9,469	-4,414086E-14
9,500	-4,364348E-14
9,531	-4,253460E-14
9,563	-4,015658E-14
9,594	-3,738350E-14
9,625	-3,565545E-14
9,656	-3,467682E-14
9,688	-3,312135E-14
9,719	-3,113847E-14
9,750	-3,022991E-14
9,781	-3,114433E-14
9,813	-3,306163E-14
9,844	-3,426084E-14
9,875	-3,343441E-14
9,906	-3,118802E-14
9,938	-2,971958E-14
9,969	-3,030163E-14
10,000	-3,184744E-14
10,031	-3,242749E-14
10,063	-3,177272E-14
10,094	-3,163726E-14
10,125	-3,359647E-14
10,156	-3,730948E-14
10,188	-4,114844E-14
10,219	-4,390299E-14
10,250	-4,576202E-14
10,281	-4,768319E-14
10,313	-4,977646E-14
10,344	-5,076884E-14
10,375	-4,948164E-14
10,406	-4,654905E-14
10,438	-4,385544E-14
10,469	-4,249814E-14
10,500	-4,238840E-14
10,531	-4,309909E-14
10,563	-4,402895E-14
10,594	-4,453176E-14
10,625	-4,438325E-14
10,656	-4,376835E-14
10,688	-4,270230E-14
10,719	-4,090544E-14
10,750	-3,845191E-14
10,781	-3,574246E-14
10,813	-3,301426E-14
10,844	-3,049197E-14
10,875	-2,791992E-14
10,906	-2,339315E-14
10,938	-1,390621E-14
10,969	2,259366E-15
11,000	2,378158E-14
11,031	4,692724E-14
11,063	6,824359E-14
11,094	8,661834E-14
11,125	1,027131E-13
11,156	1,169641E-13
11,188	1,285140E-13
11,219	1,362255E-13
11,250	1,405225E-13
11,281	1,435167E-13
11,313	1,469218E-13
11,344	1,504555E-13
11,375	1,524884E-13
11,406	1,517234E-13
11,438	1,485395E-13
11,469	1,450801E-13
11,500	1,435738E-13
11,531	1,441709E-13
11,563	1,445312E-13
11,594	1,420361E-13
11,625	1,366436E-13
11,656	1,307934E-13
11,688	1,263058E-13
11,719	1,224460E-13
11,750	1,172083E-13
11,781	1,095900E-13
11,813	1,002586E-13
11,844	9,057680E-14
11,875	8,186138E-14
11,906	7,515378E-14
11,938	7,069542E-14
11,969	6,792763E-14
12,000	6,628882E-14
12,031	6,557401E-14
12,063	6,526607E-14
12,094	6,409066E-14
12,125	6,099170E-14
12,156	5,595631E-14
12,188	4,940432E-14
12,219	4,163801E-14
12,250	3,308128E-14
12,281	2,416145E-14
12,313	1,454539E-14
12,344	3,600000E-15
12,375	-7,613575E-15
12,406	-1,633187E-14
12,438	-2,085288E-14
12,469	-2,189521E-14
12,500	-2,116377E-14
12,531	-2,016224E-14
12,563	-2,012933E-14
12,594	-2,119974E-14
12,625	-2,178898E-14
12,656	-2,039613E-14
12,688	-1,746947E-14
12,719	-1,445845E-14
12,750	-1,153971E-14
12,781	-5,994920E-15
12,813	8,028274E-15
12,844	3,678540E-14
12,875	8,217651E-14
12,906	1,397443E-13
12,938	2,016669E-13
12,969	2,616749E-13
13,000	3,172171E-13
13,031	3,674082E-13
13,063	4,103013E-13
13,094	4,434144E-13
13,125	4,662763E-13
13,156	4,810008E-13
13,188	4,903206E-13
13,219	4,959916E-13
13,250	4,988539E-13
13,281	4,991182E-13
13,313	4,965161E-13
13,344	4,910189E-13
13,375	4,836288E-13
13,406	4,762472E-13
13,438	4,705109E-13
13,469	4,667543E-13
13,500	4,640383E-13
13,531	4,613267E-13
13,563	4,587599E-13
13,594	4,567235E-13
13,625	4,535797E-13
13,656	4,462583E-13
13,688	4,334374E-13
13,719	4,166775E-13
13,750	3,985049E-13
13,781	3,807067E-13
13,813	3,641670E-13
13,844	3,491269E-13
13,875	3,363194E-13
13,906	3,279414E-13
