11.11.2011	10:04:20
A
Mass	Value
0,000	4,201481E-12
0,031	2,124758E-12
0,063	9,738257E-13
0,094	5,618508E-13
0,125	5,644561E-13
0,156	9,794693E-13
0,188	2,129293E-12
0,219	4,201752E-12
0,250	6,721909E-12
0,281	8,791539E-12
0,313	9,937463E-12
0,344	1,036359E-11
0,375	1,047028E-11
0,406	1,049134E-11
0,438	1,050106E-11
0,469	1,051217E-11
0,500	1,052002E-11
0,531	1,051211E-11
0,563	1,046995E-11
0,594	1,037780E-11
0,625	1,024132E-11
0,656	1,009390E-11
0,688	9,983550E-12
0,719	9,971996E-12
0,750	1,017633E-11
0,781	1,082793E-11
0,813	1,225030E-11
0,844	1,469183E-11
0,875	1,812809E-11
0,906	2,222191E-11
0,938	2,647354E-11
0,969	3,047329E-11
1,000	3,413256E-11
1,031	3,768679E-11
1,063	4,142266E-11
1,094	4,540772E-11
1,125	4,943655E-11
1,156	5,313075E-11
1,188	5,609037E-11
1,219	5,802404E-11
1,250	5,874860E-11
1,281	5,802613E-11
1,313	5,540000E-11
1,344	5,025886E-11
1,375	4,225389E-11
1,406	3,200354E-11
1,438	2,147755E-11
1,469	1,322640E-11
1,500	8,881548E-12
1,531	8,454719E-12
1,563	1,089858E-11
1,594	1,497746E-11
1,625	1,973352E-11
1,656	2,460279E-11
1,688	2,937765E-11
1,719	3,408861E-11
1,750	3,882057E-11
1,781	4,353979E-11
1,813	4,806500E-11
1,844	5,216645E-11
1,875	5,565762E-11
1,906	5,843519E-11
1,938	6,048685E-11
1,969	6,186999E-11
2,000	6,267505E-11
2,031	6,299346E-11
2,063	6,289147E-11
2,094	6,238328E-11
2,125	6,142491E-11
2,156	5,998485E-11
2,188	5,818604E-11
2,219	5,632151E-11
2,250	5,458052E-11
2,281	5,276999E-11
2,313	5,038908E-11
2,344	4,682738E-11
2,375	4,139752E-11
2,406	3,360894E-11
2,438	2,397936E-11
2,469	1,442181E-11
2,500	7,116597E-12
2,531	2,889211E-12
2,563	1,037265E-12
2,594	4,198642E-13
2,625	2,689947E-13
2,656	2,544458E-13
2,688	2,740563E-13
2,719	3,028950E-13
2,750	3,327866E-13
2,781	3,576579E-13
2,813	3,742555E-13
2,844	3,835722E-13
2,875	3,887380E-13
2,906	3,917248E-13
2,938	3,925345E-13
2,969	3,907361E-13
3,000	3,868398E-13
3,031	3,824063E-13
3,063	3,788905E-13
3,094	3,758837E-13
3,125	3,714631E-13
3,156	3,650198E-13
3,188	3,580318E-13
3,219	3,516012E-13
3,250	3,450504E-13
3,281	3,371708E-13
3,313	3,270431E-13
3,344	3,128523E-13
3,375	2,912526E-13
3,406	2,593974E-13
3,438	2,181493E-13
3,469	1,733862E-13
3,500	1,333641E-13
3,531	1,037005E-13
3,563	8,500672E-14
3,594	7,524276E-14
3,625	7,263887E-14
3,656	7,530975E-14
3,688	7,955363E-14
3,719	8,108238E-14
3,750	7,859510E-14
3,781	7,493324E-14
3,813	7,401854E-14
3,844	7,687273E-14
3,875	8,089608E-14
3,906	8,272437E-14
3,938	8,116616E-14
3,969	7,732512E-14
4,000	7,286134E-14
4,031	6,899213E-14
4,063	6,636466E-14
4,094	6,502686E-14
4,125	6,445892E-14
4,156	6,377068E-14
4,188	6,254464E-14
4,219	6,145839E-14
4,250	6,123070E-14
4,281	6,150215E-14
4,313	6,165348E-14
4,344	6,174271E-14
4,375	6,176535E-14
4,406	6,100375E-14
4,438	5,894734E-14
4,469	5,638524E-14
4,500	5,518150E-14
4,531	5,645989E-14
4,563	5,887710E-14
4,594	5,987514E-14
4,625	5,867794E-14
4,656	5,672726E-14
4,688	5,563374E-14
4,719	5,583934E-14
4,750	5,662904E-14
4,781	5,695542E-14
4,813	5,670752E-14
4,844	5,680791E-14
4,875	5,779314E-14
4,906	5,896524E-14
4,938	5,910931E-14
4,969	5,768963E-14
5,000	5,516964E-14
5,031	5,245204E-14
5,063	5,030077E-14
5,094	4,888123E-14
5,125	4,782165E-14
5,156	4,721087E-14
5,188	4,781695E-14
5,219	4,968998E-14
5,250	5,165755E-14
5,281	5,263919E-14
5,313	5,254846E-14
5,344	5,218957E-14
5,375	5,262601E-14
5,406	5,389195E-14
5,438	5,491251E-14
5,469	5,515862E-14
5,500	5,499873E-14
5,531	5,440179E-14
5,563	5,267465E-14
5,594	5,007444E-14
5,625	4,891535E-14
5,656	5,130956E-14
5,688	5,613624E-14
5,719	6,026406E-14
5,750	6,196754E-14
