#energy Ti-O-Ti Ti-O-Si Si-O-Si total
-539.37458 0.00000 0.00008 0.00013 0.00020
-539.35458 0.00000 0.00009 0.00015 0.00024
-539.33458 0.00000 0.00011 0.00017 0.00028
-539.31458 0.00000 0.00012 0.00020 0.00032
-539.29458 0.00000 0.00014 0.00023 0.00037
-539.27458 0.00000 0.00016 0.00027 0.00043
-539.25458 0.00000 0.00019 0.00031 0.00049
-539.23458 0.00000 0.00021 0.00035 0.00057
-539.21458 0.00000 0.00024 0.00041 0.00065
-539.19458 0.00000 0.00028 0.00046 0.00074
-539.17458 0.00000 0.00031 0.00053 0.00085
-539.15458 0.00000 0.00036 0.00061 0.00097
-539.13458 0.00001 0.00040 0.00069 0.00110
-539.11458 0.00001 0.00046 0.00078 0.00125
-539.09458 0.00001 0.00051 0.00089 0.00141
-539.07458 0.00001 0.00058 0.00100 0.00159
-539.05458 0.00001 0.00065 0.00113 0.00179
-539.03458 0.00001 0.00073 0.00128 0.00202
-539.01458 0.00002 0.00081 0.00143 0.00226
-538.99458 0.00002 0.00090 0.00160 0.00253
-538.97458 0.00002 0.00100 0.00179 0.00282
-538.95458 0.00003 0.00111 0.00200 0.00314
-538.93458 0.00003 0.00123 0.00223 0.00349
-538.91458 0.00004 0.00136 0.00248 0.00388
-538.89458 0.00005 0.00150 0.00274 0.00429
-538.87458 0.00006 0.00165 0.00303 0.00474
-538.85458 0.00007 0.00181 0.00335 0.00523
-538.83458 0.00008 0.00199 0.00369 0.00575
-538.81458 0.00009 0.00217 0.00405 0.00632
-538.79458 0.00010 0.00237 0.00445 0.00692
-538.77458 0.00012 0.00258 0.00487 0.00757
-538.75458 0.00014 0.00281 0.00532 0.00826
-538.73458 0.00016 0.00305 0.00580 0.00901
-538.71458 0.00018 0.00330 0.00631 0.00979
-538.69458 0.00021 0.00358 0.00685 0.01063
-538.67458 0.00024 0.00386 0.00742 0.01152
-538.65458 0.00028 0.00417 0.00802 0.01247
-538.63458 0.00032 0.00449 0.00866 0.01346
-538.61458 0.00036 0.00482 0.00933 0.01451
-538.59458 0.00041 0.00518 0.01003 0.01562
-538.57458 0.00047 0.00555 0.01077 0.01679
-538.55458 0.00053 0.00595 0.01153 0.01801
-538.53458 0.00059 0.00637 0.01233 0.01929
-538.51458 0.00067 0.00680 0.01316 0.02063
-538.49458 0.00075 0.00726 0.01402 0.02203
-538.47458 0.00084 0.00775 0.01490 0.02349
-538.45458 0.00094 0.00825 0.01582 0.02502
-538.43458 0.00105 0.00879 0.01676 0.02660
-538.41458 0.00118 0.00935 0.01772 0.02825
-538.39458 0.00131 0.00994 0.01871 0.02996
-538.37458 0.00145 0.01056 0.01972 0.03173
-538.35458 0.00161 0.01121 0.02075 0.03357
-538.33458 0.00178 0.01190 0.02179 0.03547
-538.31458 0.00196 0.01263 0.02284 0.03743
-538.29458 0.00216 0.01339 0.02390 0.03945
-538.27458 0.00237 0.01420 0.02497 0.04154
-538.25458 0.00260 0.01505 0.02605 0.04370
-538.23458 0.00285 0.01594 0.02712 0.04591
-538.21458 0.00311 0.01689 0.02819 0.04819
-538.19458 0.00340 0.01789 0.02925 0.05053
-538.17458 0.00370 0.01894 0.03030 0.05294
-538.15458 0.00402 0.02005 0.03133 0.05541
-538.13458 0.00437 0.02123 0.03235 0.05794
-538.11458 0.00473 0.02247 0.03334 0.06054
-538.09458 0.00512 0.02378 0.03430 0.06319
-538.07458 0.00553 0.02516 0.03522 0.06591
-538.05458 0.00596 0.02661 0.03612 0.06869
-538.03458 0.00642 0.02815 0.03697 0.07153
-538.01458 0.00690 0.02976 0.03777 0.07443
-537.99458 0.00740 0.03146 0.03853 0.07739
-537.97458 0.00794 0.03325 0.03923 0.08041
-537.95458 0.00849 0.03512 0.03987 0.08349
-537.93458 0.00908 0.03709 0.04046 0.08663
-537.91458 0.00970 0.03915 0.04098 0.08982
-537.89458 0.01034 0.04131 0.04143 0.09307
-537.87458 0.01101 0.04356 0.04181 0.09638
-537.85458 0.01172 0.04591 0.04212 0.09974
-537.83458 0.01245 0.04836 0.04236 0.10316
-537.81458 0.01322 0.05090 0.04252 0.10664
-537.79458 0.01402 0.05355 0.04260 0.11016
-537.77458 0.01485 0.05629 0.04260 0.11374
-537.75458 0.01573 0.05912 0.04253 0.11737
-537.73458 0.01663 0.06205 0.04237 0.12106
-537.71458 0.01758 0.06507 0.04214 0.12480
