#energy Ti-O-Ti Ti-O-Si Si-O-Si total
-539.78450 0.00000 0.00015 0.00008 0.00023
-539.76450 0.00000 0.00017 0.00010 0.00027
-539.74450 0.00000 0.00020 0.00011 0.00031
-539.72450 0.00000 0.00023 0.00013 0.00036
-539.70450 0.00000 0.00027 0.00015 0.00042
-539.68450 0.00000 0.00031 0.00017 0.00049
-539.66450 0.00000 0.00036 0.00020 0.00056
-539.64450 0.00000 0.00041 0.00023 0.00065
-539.62450 0.00000 0.00047 0.00027 0.00074
-539.60450 0.00000 0.00054 0.00031 0.00085
-539.58450 0.00000 0.00062 0.00035 0.00097
-539.56450 0.00000 0.00070 0.00041 0.00111
-539.54450 0.00000 0.00079 0.00046 0.00126
-539.52450 0.00000 0.00090 0.00053 0.00143
-539.50450 0.00000 0.00101 0.00060 0.00162
-539.48450 0.00000 0.00114 0.00069 0.00183
-539.46450 0.00001 0.00128 0.00078 0.00207
-539.44450 0.00001 0.00144 0.00088 0.00232
-539.42450 0.00001 0.00161 0.00100 0.00261
-539.40450 0.00001 0.00179 0.00112 0.00292
-539.38450 0.00001 0.00199 0.00126 0.00327
-539.36450 0.00001 0.00221 0.00142 0.00365
-539.34450 0.00002 0.00245 0.00159 0.00406
-539.32450 0.00002 0.00271 0.00179 0.00451
-539.30450 0.00002 0.00299 0.00200 0.00500
-539.28450 0.00003 0.00328 0.00223 0.00554
-539.26450 0.00003 0.00360 0.00248 0.00612
-539.24450 0.00004 0.00394 0.00276 0.00674
-539.22450 0.00004 0.00431 0.00307 0.00742
-539.20450 0.00005 0.00469 0.00340 0.00814
-539.18450 0.00006 0.00510 0.00377 0.00893
-539.16450 0.00007 0.00553 0.00417 0.00976
-539.14450 0.00008 0.00599 0.00460 0.01066
-539.12450 0.00009 0.00647 0.00507 0.01162
-539.10450 0.00010 0.00697 0.00558 0.01264
-539.08450 0.00011 0.00749 0.00613 0.01373
-539.06450 0.00013 0.00803 0.00673 0.01489
-539.04450 0.00015 0.00859 0.00737 0.01611
-539.02450 0.00017 0.00917 0.00807 0.01741
-539.00450 0.00019 0.00977 0.00882 0.01878
-538.98450 0.00022 0.01039 0.00962 0.02023
-538.96450 0.00025 0.01102 0.01048 0.02176
-538.94450 0.00028 0.01167 0.01141 0.02336
-538.92450 0.00031 0.01233 0.01240 0.02504
-538.90450 0.00035 0.01299 0.01346 0.02681
-538.88450 0.00039 0.01367 0.01459 0.02866
-538.86450 0.00044 0.01435 0.01580 0.03059
-538.84450 0.00049 0.01503 0.01708 0.03261
-538.82450 0.00055 0.01572 0.01844 0.03471
-538.80450 0.00061 0.01640 0.01989 0.03690
-538.78450 0.00067 0.01709 0.02142 0.03918
-538.76450 0.00075 0.01776 0.02304 0.04155
-538.74450 0.00083 0.01844 0.02474 0.04400
-538.72450 0.00091 0.01910 0.02654 0.04655
-538.70450 0.00100 0.01975 0.02843 0.04918
-538.68450 0.00110 0.02039 0.03041 0.05190
-538.66450 0.00121 0.02102 0.03248 0.05471
-538.64450 0.00132 0.02163 0.03465 0.05761
-538.62450 0.00145 0.02223 0.03691 0.06059
-538.60450 0.00158 0.02282 0.03927 0.06366
-538.58450 0.00172 0.02339 0.04171 0.06682
-538.56450 0.00187 0.02394 0.04424 0.07006
-538.54450 0.00203 0.02449 0.04686 0.07338
-538.52450 0.00221 0.02502 0.04956 0.07678
-538.50450 0.00239 0.02554 0.05233 0.08026
-538.48450 0.00259 0.02605 0.05518 0.08382
-538.46450 0.00280 0.02656 0.05809 0.08745
-538.44450 0.00302 0.02706 0.06106 0.09115
-538.42450 0.00326 0.02757 0.06408 0.09491
-538.40450 0.00351 0.02808 0.06715 0.09874
-538.38450 0.00378 0.02861 0.07024 0.10263
-538.36450 0.00406 0.02915 0.07337 0.10657
-538.34450 0.00436 0.02971 0.07650 0.11057
-538.32450 0.00468 0.03029 0.07964 0.11461
-538.30450 0.00502 0.03091 0.08276 0.11869
-538.28450 0.00537 0.03157 0.08587 0.12281
-538.26450 0.00575 0.03228 0.08893 0.12696
-538.24450 0.00614 0.03304 0.09195 0.13114
-538.22450 0.00656 0.03386 0.09491 0.13534
-538.20450 0.00700 0.03475 0.09779 0.13955
-538.18450 0.00747 0.03572 0.10058 0.14377
-538.16450 0.00796 0.03677 0.10327 0.14800
-538.14450 0.00847 0.03791 0.10584 0.15223
-538.12450 0.00901 0.03915 0.10828 0.15645
-538.10450 0.00958 0.04049 0.11058 0.16065
-538.08450 0.01017 0.04195 0.11272 0.16485
-538.06450 0.01079 0.04352 0.11470 0.16902
-538.04450 0.01145 0.04522 0.11649 0.17316
-538.02450 0.01212 0.04705 0.11810 0.17727
-538.00450 0.01283 0.04901 0.11951 0.18135
-537.98450 0.01357 0.05111 0.12072 0.18539
-537.96450 0.01433 0.05335 0.12171 0.18939
-537.94450 0.01513 0.05573 0.12248 0.19334
-537.92450 0.01595 0.05826 0.12302 0.19723
-537.90450 0.01680 0.06093 0.12335 0.20108
-537.88450 0.01768 0.06375 0.12344 0.20486
-537.86450 0.01858 0.06671 0.12330 0.20859
-537.84450 0.01951 0.06981 0.12293 0.21225
-537.82450 0.02047 0.07305 0.12234 0.21585
-537.80450 0.02145 0.07642 0.12152 0.21939
-537.78450 0.02245 0.07991 0.12048 0.22285
-537.76450 0.02348 0.08353 0.11923 0.22624
-537.74450 0.02452 0.08725 0.11777 0.22955
-537.72450 0.02559 0.09108 0.11612 0.23279
-537.70450 0.02667 0.09501 0.11428 0.23596
-537.68450 0.02777 0.09901 0.11225 0.23904
-537.66450 0.02889 0.10309 0.11006 0.24204
-537.64450 0.03002 0.10723 0.10772 0.24496
-537.62450 0.03116 0.11141 0.10523 0.24780
-537.60450 0.03232 0.11563 0.10260 0.25056
-537.58450 0.03350 0.11987 0.09986 0.25323
-537.56450 0.03468 0.12411 0.09702 0.25581
-537.54450 0.03588 0.12834 0.09409 0.25831
-537.52450 0.03709 0.13256 0.09107 0.26072
-537.50450 0.03832 0.13673 0.08800 0.26305
-537.48450 0.03957 0.14086 0.08487 0.26530
-537.46450 0.04083 0.14492 0.08171 0.26746
-537.44450 0.04211 0.14891 0.07852 0.26955
-537.42450 0.04342 0.15280 0.07532 0.27155
-537.40450 0.04475 0.15660 0.07212 0.27347
-537.38450 0.04611 0.16028 0.06894 0.27533
