#energy Ti-O-Ti Ti-O-Si Si-O-Si total
-539.19237 0.00000 0.00001 0.00013 0.00013
-539.17237 0.00000 0.00001 0.00015 0.00016
-539.15237 0.00000 0.00001 0.00017 0.00018
-539.13237 0.00000 0.00001 0.00020 0.00021
-539.11237 0.00000 0.00001 0.00023 0.00024
-539.09237 0.00000 0.00002 0.00027 0.00028
-539.07237 0.00000 0.00002 0.00031 0.00033
-539.05237 0.00000 0.00002 0.00035 0.00037
-539.03237 0.00000 0.00003 0.00040 0.00043
-539.01237 0.00000 0.00003 0.00046 0.00049
-538.99237 0.00000 0.00004 0.00052 0.00056
-538.97237 0.00000 0.00005 0.00060 0.00064
-538.95237 0.00000 0.00006 0.00068 0.00073
-538.93237 0.00000 0.00006 0.00076 0.00083
-538.91237 0.00000 0.00008 0.00086 0.00094
-538.89237 0.00000 0.00009 0.00097 0.00106
-538.87237 0.00000 0.00010 0.00109 0.00120
-538.85237 0.00000 0.00012 0.00123 0.00135
-538.83237 0.00000 0.00014 0.00137 0.00152
-538.81237 0.00000 0.00016 0.00153 0.00170
-538.79237 0.00000 0.00019 0.00171 0.00190
-538.77237 0.00000 0.00022 0.00190 0.00212
-538.75237 0.00000 0.00025 0.00211 0.00236
-538.73237 0.00000 0.00029 0.00233 0.00262
-538.71237 0.00001 0.00033 0.00257 0.00291
-538.69237 0.00001 0.00038 0.00283 0.00322
-538.67237 0.00001 0.00043 0.00311 0.00355
-538.65237 0.00001 0.00049 0.00341 0.00391
-538.63237 0.00001 0.00056 0.00373 0.00430
-538.61237 0.00001 0.00063 0.00407 0.00472
-538.59237 0.00002 0.00071 0.00444 0.00517
-538.57237 0.00002 0.00081 0.00482 0.00565
-538.55237 0.00003 0.00091 0.00523 0.00616
-538.53237 0.00003 0.00102 0.00566 0.00671
-538.51237 0.00004 0.00114 0.00611 0.00729
-538.49237 0.00004 0.00128 0.00658 0.00790
-538.47237 0.00005 0.00143 0.00707 0.00855
-538.45237 0.00006 0.00159 0.00758 0.00924
-538.43237 0.00007 0.00177 0.00811 0.00996
-538.41237 0.00009 0.00197 0.00866 0.01072
-538.39237 0.00010 0.00218 0.00923 0.01151
-538.37237 0.00012 0.00241 0.00981 0.01234
-538.35237 0.00015 0.00266 0.01040 0.01321
-538.33237 0.00017 0.00293 0.01101 0.01411
-538.31237 0.00020 0.00322 0.01163 0.01505
-538.29237 0.00024 0.00353 0.01226 0.01603
-538.27237 0.00028 0.00387 0.01289 0.01704
-538.25237 0.00032 0.00423 0.01353 0.01809
-538.23237 0.00038 0.00462 0.01417 0.01917
-538.21237 0.00044 0.00503 0.01481 0.02028
-538.19237 0.00051 0.00547 0.01545 0.02142
-538.17237 0.00059 0.00593 0.01608 0.02260
-538.15237 0.00068 0.00643 0.01670 0.02381
-538.13237 0.00078 0.00696 0.01730 0.02504
-538.11237 0.00090 0.00751 0.01790 0.02631
-538.09237 0.00103 0.00810 0.01847 0.02761
-538.07237 0.00118 0.00872 0.01903 0.02893
-538.05237 0.00135 0.00938 0.01956 0.03029
-538.03237 0.00154 0.01007 0.02007 0.03167
-538.01237 0.00175 0.01079 0.02055 0.03309
-537.99237 0.00199 0.01155 0.02099 0.03453
-537.97237 0.00226 0.01235 0.02141 0.03601
-537.95237 0.00255 0.01318 0.02179 0.03752
-537.93237 0.00288 0.01405 0.02214 0.03907
-537.91237 0.00324 0.01496 0.02245 0.04065
-537.89237 0.00364 0.01591 0.02272 0.04227
-537.87237 0.00409 0.01690 0.02295 0.04393
-537.85237 0.00458 0.01793 0.02314 0.04564
-537.83237 0.00512 0.01900 0.02329 0.04741
-537.81237 0.00571 0.02011 0.02340 0.04922
-537.79237 0.00636 0.02127 0.02347 0.05110
-537.77237 0.00706 0.02247 0.02350 0.05304
-537.75237 0.00784 0.02372 0.02349 0.05504
-537.73237 0.00868 0.02500 0.02345 0.05713
-537.71237 0.00959 0.02634 0.02337 0.05930
-537.69237 0.01058 0.02772 0.02325 0.06156
