#energy Ti-O-Ti Ti-O-Si Si-O-Si total
-537.67237 0.01166 0.02915 0.02311 0.06391
-537.65237 0.01282 0.03063 0.02293 0.06637
-537.63237 0.01407 0.03215 0.02273 0.06894
-537.61237 0.01542 0.03372 0.02249 0.07163
-537.59237 0.01687 0.03534 0.02224 0.07445
-537.57237 0.01842 0.03701 0.02197 0.07740
-537.55237 0.02009 0.03873 0.02168 0.08049
-537.53237 0.02187 0.04049 0.02137 0.08373
-537.51237 0.02377 0.04231 0.02105 0.08713
-537.49237 0.02580 0.04417 0.02073 0.09069
-537.47237 0.02796 0.04607 0.02039 0.09443
-537.45237 0.03026 0.04802 0.02005 0.09833
-537.43237 0.03270 0.05002 0.01971 0.10243
-537.41237 0.03528 0.05205 0.01937 0.10670
-537.39237 0.03801 0.05413 0.01903 0.11117
-537.37237 0.04090 0.05624 0.01869 0.11583
-537.35237 0.04395 0.05839 0.01836 0.12070
-537.33237 0.04715 0.06056 0.01804 0.12576
-537.31237 0.05053 0.06276 0.01773 0.13102
-537.29237 0.05408 0.06499 0.01742 0.13649
-537.27237 0.05780 0.06723 0.01712 0.14215
-537.25237 0.06170 0.06949 0.01683 0.14802
-537.23237 0.06578 0.07175 0.01655 0.15408
-537.21237 0.07004 0.07402 0.01629 0.16034
-537.19237 0.07449 0.07628 0.01602 0.16679
-537.17237 0.07913 0.07853 0.01577 0.17342
-537.15237 0.08395 0.08076 0.01553 0.18024
-537.13237 0.08896 0.08296 0.01529 0.18722
-537.11237 0.09417 0.08513 0.01506 0.19436
-537.09237 0.09956 0.08727 0.01483 0.20166
-537.07237 0.10514 0.08935 0.01461 0.20910
-537.05237 0.11091 0.09138 0.01439 0.21668
-537.03237 0.11686 0.09334 0.01417 0.22437
-537.01237 0.12299 0.09523 0.01395 0.23218
-536.99237 0.12930 0.09705 0.01373 0.24008
-536.97237 0.13578 0.09877 0.01350 0.24806
-536.95237 0.14243 0.10040 0.01327 0.25610
-536.93237 0.14924 0.10193 0.01304 0.26420
-536.91237 0.15620 0.10334 0.01279 0.27233
-536.89237 0.16330 0.10464 0.01255 0.28049
-536.87237 0.17053 0.10582 0.01229 0.28864
-536.85237 0.17788 0.10687 0.01203 0.29678
-536.83237 0.18534 0.10779 0.01175 0.30488
-536.81237 0.19290 0.10857 0.01147 0.31294
-536.79237 0.20054 0.10920 0.01118 0.32092
-536.77237 0.20824 0.10970 0.01088 0.32881
-536.75237 0.21598 0.11004 0.01057 0.33660
-536.73237 0.22376 0.11024 0.01026 0.34426
-536.71237 0.23155 0.11028 0.00993 0.35176
-536.69237 0.23932 0.11018 0.00960 0.35910
-536.67237 0.24707 0.10992 0.00926 0.36626
-536.65237 0.25476 0.10952 0.00892 0.37320
-536.63237 0.26237 0.10897 0.00858 0.37992
-536.61237 0.26988 0.10828 0.00823 0.38639
-536.59237 0.27727 0.10744 0.00788 0.39259
-536.57237 0.28451 0.10646 0.00753 0.39850
-536.55237 0.29157 0.10536 0.00717 0.40410
-536.53237 0.29843 0.10412 0.00683 0.40937
-536.51237 0.30506 0.10277 0.00648 0.41430
-536.49237 0.31143 0.10129 0.00614 0.41886
-536.47237 0.31753 0.09971 0.00580 0.42304
-536.45237 0.32333 0.09803 0.00547 0.42682
-536.43237 0.32879 0.09624 0.00514 0.43018
-536.41237 0.33390 0.09437 0.00483 0.43310
-536.39237 0.33864 0.09242 0.00452 0.43558
-536.37237 0.34297 0.09039 0.00422 0.43759
-536.35237 0.34688 0.08830 0.00394 0.43912
-536.33237 0.35036 0.08615 0.00366 0.44017
-536.31237 0.35338 0.08395 0.00340 0.44072
-536.29237 0.35592 0.08170 0.00314 0.44076
-536.27237 0.35797 0.07941 0.00290 0.44028
-536.25237 0.35952 0.07710 0.00267 0.43929
-536.23237 0.36056 0.07476 0.00246 0.43777
-536.21237 0.36107 0.07241 0.00225 0.43573
-536.19237 0.36106 0.07004 0.00206 0.43316
-536.17237 0.36051 0.06767 0.00188 0.43006
-536.15237 0.35944 0.06531 0.00171 0.42645
-536.13237 0.35782 0.06295 0.00155 0.42232
-536.11237 0.35568 0.06060 0.00140 0.41769
-536.09237 0.35302 0.05827 0.00127 0.41256
-536.07237 0.34984 0.05596 0.00114 0.40694
-536.05237 0.34616 0.05368 0.00103 0.40086
-536.03237 0.34198 0.05142 0.00092 0.39433
-536.01237 0.33733 0.04921 0.00082 0.38736
-535.99237 0.33222 0.04702 0.00073 0.37998
-535.97237 0.32668 0.04488 0.00065 0.37221
-535.95237 0.32071 0.04278 0.00058 0.36407
-535.93237 0.31435 0.04073 0.00051 0.35560
-535.91237 0.30763 0.03872 0.00045 0.34680
-535.89237 0.30056 0.03677 0.00040 0.33772
-535.87237 0.29317 0.03486 0.00035 0.32838
-535.85237 0.28550 0.03301 0.00031 0.31882
-535.83237 0.27757 0.03121 0.00027 0.30906
-535.81237 0.26942 0.02947 0.00023 0.29913
-535.79237 0.26107 0.02779 0.00020 0.28907
-535.77237 0.25256 0.02616 0.00018 0.27890
-535.75237 0.24392 0.02460 0.00015 0.26866
-535.73237 0.23517 0.02309 0.00013 0.25839
-535.71237 0.22635 0.02164 0.00011 0.24810
-535.69237 0.21750 0.02024 0.00010 0.23784
-535.67237 0.20863 0.01891 0.00008 0.22762
-535.65237 0.19978 0.01764 0.00007 0.21749
-535.63237 0.19097 0.01642 0.00006 0.20745
-535.61237 0.18223 0.01527 0.00005 0.19755
-535.59237 0.17360 0.01417 0.00004 0.18781
-535.57237 0.16508 0.01312 0.00004 0.17824
-535.55237 0.15670 0.01213 0.00003 0.16887
-535.53237 0.14849 0.01120 0.00003 0.15971
-535.51237 0.14045 0.01032 0.00002 0.15079
-535.49237 0.13262 0.00949 0.00002 0.14212
-535.47237 0.12499 0.00871 0.00002 0.13372
-535.45237 0.11760 0.00798 0.00001 0.12559
-535.43237 0.11044 0.00730 0.00001 0.11775
-535.41237 0.10353 0.00666 0.00001 0.11020
-535.39237 0.09687 0.00606 0.00001 0.10295
-535.37237 0.09048 0.00551 0.00001 0.09600
-535.35237 0.08436 0.00500 0.00001 0.08936
-535.33237 0.07850 0.00453 0.00000 0.08303
-535.31237 0.07292 0.00409 0.00000 0.07701
-535.29237 0.06760 0.00369 0.00000 0.07129
-535.27237 0.06256 0.00332 0.00000 0.06588
-535.25237 0.05779 0.00298 0.00000 0.06077
-535.23237 0.05328 0.00267 0.00000 0.05595
-535.21237 0.04903 0.00238 0.00000 0.05141
-535.19237 0.04503 0.00213 0.00000 0.04716
-535.17237 0.04128 0.00189 0.00000 0.04317
-535.15237 0.03777 0.00168 0.00000 0.03945
-535.13237 0.03449 0.00149 0.00000 0.03598
-535.11237 0.03144 0.00132 0.00000 0.03276
-535.09237 0.02860 0.00116 0.00000 0.02976
-535.07237 0.02597 0.00102 0.00000 0.02699
-535.05237 0.02353 0.00090 0.00000 0.02443
-535.03237 0.02129 0.00079 0.00000 0.02207
-535.01237 0.01921 0.00069 0.00000 0.01990
-534.99237 0.01731 0.00060 0.00000 0.01791
-534.97237 0.01556 0.00052 0.00000 0.01609
-534.95237 0.01397 0.00045 0.00000 0.01442
-534.93237 0.01251 0.00039 0.00000 0.01290
-534.91237 0.01118 0.00034 0.00000 0.01152
-534.89237 0.00997 0.00029 0.00000 0.01026
-534.87237 0.00888 0.00025 0.00000 0.00913
-534.85237 0.00789 0.00022 0.00000 0.00810
-534.83237 0.00699 0.00018 0.00000 0.00718
-534.81237 0.00619 0.00016 0.00000 0.00635
-534.79237 0.00546 0.00013 0.00000 0.00560
-534.77237 0.00481 0.00011 0.00000 0.00493
-534.75237 0.00423 0.00010 0.00000 0.00433
-534.73237 0.00372 0.00008 0.00000 0.00380
-534.71237 0.00325 0.00007 0.00000 0.00332
-534.69237 0.00284 0.00006 0.00000 0.00290
-534.67237 0.00248 0.00005 0.00000 0.00253
-534.65237 0.00216 0.00004 0.00000 0.00220
-534.63237 0.00188 0.00003 0.00000 0.00191
-534.61237 0.00163 0.00003 0.00000 0.00165
-534.59237 0.00141 0.00002 0.00000 0.00143
-534.57237 0.00121 0.00002 0.00000 0.00123
-534.55237 0.00105 0.00002 0.00000 0.00106
-534.53237 0.00090 0.00001 0.00000 0.00091
-534.51237 0.00077 0.00001 0.00000 0.00078
-534.49237 0.00066 0.00001 0.00000 0.00067
-534.47237 0.00056 0.00001 0.00000 0.00057
-534.45237 0.00048 0.00001 0.00000 0.00049
-534.43237 0.00041 0.00001 0.00000 0.00041
-534.41237 0.00035 0.00000 0.00000 0.00035
