#energy Ti-O-Ti Ti-O-Si Si-O-Si total
-538.06136 0.00130 0.03495 0.20982 0.24607
-538.04136 0.00141 0.03683 0.21214 0.25038
-538.02136 0.00152 0.03880 0.21414 0.25446
-538.00136 0.00163 0.04087 0.21581 0.25831
-537.98136 0.00175 0.04305 0.21712 0.26192
-537.96136 0.00187 0.04531 0.21808 0.26527
-537.94136 0.00200 0.04768 0.21867 0.26835
-537.92136 0.00214 0.05014 0.21888 0.27116
-537.90136 0.00227 0.05270 0.21872 0.27369
-537.88136 0.00242 0.05536 0.21817 0.27595
-537.86136 0.00256 0.05811 0.21724 0.27792
-537.84136 0.00271 0.06096 0.21594 0.27961
-537.82136 0.00287 0.06390 0.21425 0.28102
-537.80136 0.00303 0.06693 0.21220 0.28215
-537.78136 0.00319 0.07005 0.20978 0.28302
-537.76136 0.00335 0.07327 0.20701 0.28363
-537.74136 0.00352 0.07657 0.20391 0.28400
-537.72136 0.00370 0.07996 0.20048 0.28413
-537.70136 0.00387 0.08343 0.19674 0.28404
-537.68136 0.00405 0.08698 0.19271 0.28375
-537.66136 0.00424 0.09062 0.18841 0.28326
-537.64136 0.00442 0.09433 0.18386 0.28261
-537.62136 0.00461 0.09812 0.17908 0.28181
-537.60136 0.00481 0.10197 0.17409 0.28087
-537.58136 0.00501 0.10590 0.16892 0.27982
-537.56136 0.00521 0.10988 0.16358 0.27868
-537.54136 0.00542 0.11392 0.15811 0.27746
-537.52136 0.00564 0.11802 0.15253 0.27619
-537.50136 0.00586 0.12216 0.14686 0.27488
-537.48136 0.00609 0.12635 0.14113 0.27356
-537.46136 0.00632 0.13056 0.13536 0.27224
-537.44136 0.00657 0.13480 0.12957 0.27094
-537.42136 0.00682 0.13906 0.12378 0.26967
-537.40136 0.00709 0.14333 0.11802 0.26844
-537.38136 0.00737 0.14759 0.11231 0.26727
-537.36136 0.00766 0.15185 0.10666 0.26616
-537.34136 0.00796 0.15608 0.10110 0.26513
-537.32136 0.00828 0.16027 0.09563 0.26418
-537.30136 0.00861 0.16441 0.09028 0.26331
-537.28136 0.00896 0.16849 0.08506 0.26252
-537.26136 0.00933 0.17249 0.07999 0.26181
-537.24136 0.00973 0.17640 0.07506 0.26119
