#energy Ti-O-Ti Ti-O-Si Si-O-Si total
-538.11143 0.00015 0.00000 0.00000 0.00015
-538.09143 0.00018 0.00000 0.00000 0.00018
-538.07143 0.00021 0.00000 0.00000 0.00021
-538.05143 0.00024 0.00000 0.00000 0.00024
-538.03143 0.00028 0.00000 0.00000 0.00028
-538.01143 0.00033 0.00000 0.00000 0.00033
-537.99143 0.00038 0.00000 0.00000 0.00038
-537.97143 0.00045 0.00000 0.00000 0.00045
-537.95143 0.00052 0.00000 0.00000 0.00052
-537.93143 0.00060 0.00000 0.00000 0.00060
-537.91143 0.00069 0.00000 0.00000 0.00069
-537.89143 0.00080 0.00000 0.00000 0.00080
-537.87143 0.00092 0.00000 0.00000 0.00092
-537.85143 0.00106 0.00000 0.00000 0.00106
-537.83143 0.00122 0.00000 0.00000 0.00122
-537.81143 0.00140 0.00000 0.00000 0.00140
-537.79143 0.00160 0.00000 0.00000 0.00160
-537.77143 0.00183 0.00000 0.00000 0.00183
-537.75143 0.00209 0.00000 0.00000 0.00209
-537.73143 0.00238 0.00000 0.00000 0.00238
-537.71143 0.00271 0.00000 0.00000 0.00271
-537.69143 0.00308 0.00000 0.00000 0.00308
-537.67143 0.00349 0.00000 0.00000 0.00349
-537.65143 0.00396 0.00000 0.00000 0.00396
-537.63143 0.00448 0.00000 0.00000 0.00448
-537.61143 0.00506 0.00000 0.00000 0.00506
-537.59143 0.00571 0.00000 0.00000 0.00571
-537.57143 0.00643 0.00000 0.00000 0.00643
-537.55143 0.00723 0.00000 0.00000 0.00723
-537.53143 0.00812 0.00000 0.00000 0.00812
-537.51143 0.00911 0.00000 0.00000 0.00911
-537.49143 0.01020 0.00000 0.00000 0.01020
-537.47143 0.01141 0.00000 0.00000 0.01141
-537.45143 0.01275 0.00000 0.00000 0.01275
-537.43143 0.01422 0.00000 0.00000 0.01422
-537.41143 0.01584 0.00000 0.00000 0.01584
-537.39143 0.01762 0.00000 0.00000 0.01762
-537.37143 0.01957 0.00000 0.00000 0.01957
-537.35143 0.02171 0.00000 0.00000 0.02171
-537.33143 0.02404 0.00000 0.00000 0.02404
-537.31143 0.02659 0.00000 0.00000 0.02659
-537.29143 0.02937 0.00000 0.00000 0.02937
-537.27143 0.03239 0.00000 0.00000 0.03239
-537.25143 0.03567 0.00000 0.00000 0.03567
-537.23143 0.03923 0.00000 0.00000 0.03923
-537.21143 0.04307 0.00000 0.00000 0.04307
-537.19143 0.04723 0.00000 0.00000 0.04723
-537.17143 0.05170 0.00000 0.00000 0.05170
-537.15143 0.05652 0.00000 0.00000 0.05652
-537.13143 0.06168 0.00000 0.00000 0.06168
-537.11143 0.06722 0.00000 0.00000 0.06722
-537.09143 0.07313 0.00000 0.00000 0.07313
-537.07143 0.07945 0.00000 0.00000 0.07945
-537.05143 0.08617 0.00000 0.00000 0.08617
-537.03143 0.09331 0.00000 0.00000 0.09331
-537.01143 0.10088 0.00000 0.00000 0.10088
-536.99143 0.10889 0.00000 0.00000 0.10889
-536.97143 0.11734 0.00000 0.00000 0.11734
-536.95143 0.12623 0.00000 0.00000 0.12623
-536.93143 0.13558 0.00000 0.00000 0.13558
-536.91143 0.14537 0.00000 0.00000 0.14537
-536.89143 0.15561 0.00000 0.00000 0.15561
-536.87143 0.16629 0.00000 0.00000 0.16629
-536.85143 0.17740 0.00000 0.00000 0.17740
-536.83143 0.18893 0.00000 0.00000 0.18893
-536.81143 0.20087 0.00000 0.00000 0.20087
-536.79143 0.21318 0.00000 0.00000 0.21318
-536.77143 0.22586 0.00000 0.00000 0.22586
-536.75143 0.23888 0.00000 0.00000 0.23888
-536.73143 0.25220 0.00000 0.00000 0.25220
-536.71143 0.26580 0.00000 0.00000 0.26580
-536.69143 0.27965 0.00000 0.00000 0.27965
-536.67143 0.29369 0.00000 0.00000 0.29369
-536.65143 0.30789 0.00000 0.00000 0.30789
-536.63143 0.32220 0.00000 0.00000 0.32220
-536.61143 0.33659 0.00000 0.00000 0.33659
-536.59143 0.35098 0.00000 0.00000 0.35098
