#energy Ti-O-Ti Ti-O-Si Si-O-Si total
-541.61175 0.00000 0.00000 0.00012 0.00012
-541.59175 0.00000 0.00000 0.00013 0.00013
-541.57175 0.00000 0.00000 0.00016 0.00016
-541.55175 0.00000 0.00000 0.00018 0.00018
-541.53175 0.00000 0.00000 0.00021 0.00021
-541.51175 0.00000 0.00000 0.00024 0.00024
-541.49175 0.00000 0.00000 0.00027 0.00027
-541.47175 0.00000 0.00000 0.00031 0.00031
-541.45175 0.00000 0.00000 0.00035 0.00035
-541.43175 0.00000 0.00000 0.00040 0.00040
-541.41175 0.00000 0.00000 0.00046 0.00046
-541.39175 0.00000 0.00000 0.00052 0.00052
-541.37175 0.00000 0.00000 0.00058 0.00058
-541.35175 0.00000 0.00000 0.00066 0.00066
-541.33175 0.00000 0.00000 0.00074 0.00074
-541.31175 0.00000 0.00000 0.00083 0.00083
-541.29175 0.00000 0.00000 0.00092 0.00092
-541.27175 0.00000 0.00000 0.00103 0.00103
-541.25175 0.00000 0.00000 0.00115 0.00115
-541.23175 0.00000 0.00000 0.00127 0.00127
-541.21175 0.00000 0.00000 0.00141 0.00141
-541.19175 0.00000 0.00000 0.00155 0.00155
-541.17175 0.00000 0.00000 0.00171 0.00171
-541.15175 0.00000 0.00000 0.00188 0.00188
-541.13175 0.00000 0.00000 0.00206 0.00206
-541.11175 0.00000 0.00000 0.00225 0.00225
-541.09175 0.00000 0.00000 0.00245 0.00245
-541.07175 0.00000 0.00000 0.00266 0.00266
-541.05175 0.00000 0.00000 0.00289 0.00289
-541.03175 0.00000 0.00000 0.00313 0.00313
-541.01175 0.00000 0.00000 0.00337 0.00337
-540.99175 0.00000 0.00000 0.00363 0.00363
-540.97175 0.00000 0.00000 0.00390 0.00390
-540.95175 0.00000 0.00000 0.00418 0.00418
-540.93175 0.00000 0.00000 0.00446 0.00446
-540.91175 0.00000 0.00000 0.00476 0.00476
-540.89175 0.00000 0.00000 0.00506 0.00506
-540.87175 0.00000 0.00000 0.00536 0.00536
-540.85175 0.00000 0.00000 0.00567 0.00567
-540.83175 0.00000 0.00000 0.00599 0.00599
-540.81175 0.00000 0.00000 0.00630 0.00630
-540.79175 0.00000 0.00000 0.00662 0.00662
-540.77175 0.00000 0.00000 0.00693 0.00693
-540.75175 0.00000 0.00000 0.00724 0.00724
-540.73175 0.00000 0.00000 0.00754 0.00754
