#energy Ti-O-Ti Ti-O-Si Si-O-Si total
-539.90777 0.00000 0.00000 0.00074 0.00074
-539.88777 0.00000 0.00000 0.00088 0.00088
-539.86777 0.00000 0.00000 0.00104 0.00104
-539.84777 0.00000 0.00000 0.00123 0.00123
-539.82777 0.00000 0.00000 0.00145 0.00145
-539.80777 0.00000 0.00000 0.00171 0.00171
-539.78777 0.00000 0.00000 0.00200 0.00200
-539.76777 0.00000 0.00000 0.00235 0.00235
-539.74777 0.00000 0.00000 0.00274 0.00274
-539.72777 0.00000 0.00000 0.00319 0.00319
-539.70777 0.00000 0.00000 0.00372 0.00372
-539.68777 0.00000 0.00000 0.00431 0.00431
-539.66777 0.00000 0.00000 0.00500 0.00500
-539.64777 0.00000 0.00000 0.00577 0.00577
-539.62777 0.00000 0.00000 0.00665 0.00665
-539.60777 0.00000 0.00000 0.00765 0.00765
-539.58777 0.00000 0.00000 0.00879 0.00879
-539.56777 0.00000 0.00000 0.01006 0.01006
-539.54777 0.00000 0.00000 0.01150 0.01150
-539.52777 0.00000 0.00000 0.01311 0.01311
-539.50777 0.00000 0.00000 0.01491 0.01491
-539.48777 0.00000 0.00000 0.01692 0.01692
-539.46777 0.00000 0.00000 0.01917 0.01917
-539.44777 0.00000 0.00000 0.02166 0.02166
-539.42777 0.00000 0.00000 0.02442 0.02442
-539.40777 0.00000 0.00000 0.02747 0.02747
-539.38777 0.00000 0.00000 0.03083 0.03083
-539.36777 0.00000 0.00000 0.03453 0.03453
-539.34777 0.00000 0.00000 0.03859 0.03859
-539.32777 0.00000 0.00000 0.04303 0.04303
-539.30777 0.00000 0.00000 0.04787 0.04787
-539.28777 0.00000 0.00000 0.05313 0.05313
-539.26777 0.00000 0.00000 0.05885 0.05885
-539.24777 0.00000 0.00000 0.06503 0.06503
-539.22777 0.00000 0.00000 0.07170 0.07170
-539.20777 0.00000 0.00000 0.07888 0.07888
-539.18777 0.00000 0.00000 0.08659 0.08659
-539.16777 0.00000 0.00000 0.09484 0.09484
-539.14777 0.00000 0.00000 0.10365 0.10365
-539.12777 0.00000 0.00000 0.11302 0.11302
-539.10777 0.00000 0.00000 0.12296 0.12296
-539.08777 0.00000 0.00000 0.13348 0.13348
-539.06777 0.00000 0.00000 0.14458 0.14458
-539.04777 0.00000 0.00000 0.15626 0.15626
-539.02777 0.00000 0.00000 0.16850 0.16850
