-48	-10.9
-47	-10.7
-46	-10.5
-45	-10.3
-44	-10
-43	-9.7
-42	-9.4
-41	-9.2
-40	-8.9
-39	-8.6
-38	-8.3
-37.5	-8.1
-37	-7.9
-36.5	-7.6
-36	-7.3
-35.5	-7
-35	-6.4
-34.5	-5.6
-34	-4.9
-33.5	-3.5
-33	-2.3
-32.5	-1
-32	0
-31.5	0.9
-31	1.8
-30.5	2.7
-30	4
-29.5	5.2
-29	6.3
-28.5	7.7
-28	8.8
-27	11.9
-26	15.5
-25	19.3
-24	23.7
-23	28.3
-22	33.7
-21	40.3
-20	47.5
-19	55.9
-18	65
