 1.23946774e+00 7.63145534e-07 -4.14854891e-07
 1.26438598e+00 7.54999851e-07 -3.71009360e-07
 1.28930422e+00 7.45893150e-07 -3.22678121e-07
 1.31422245e+00 7.36014344e-07 -2.64661408e-07
 1.33913936e+00 7.25183783e-07 -1.98639004e-07
 1.36405626e+00 7.13196269e-07 -1.22187763e-07
 1.38897183e+00 7.00762850e-07 -3.60322472e-08
 1.41388738e+00 6.87851981e-07 5.88397668e-08
 1.43882914e+00 6.77766674e-07 1.41659896e-07
 1.46377367e+00 6.74671992e-07 1.88730215e-07
 1.48871957e+00 6.74977308e-07 2.21334104e-07
 1.51366553e+00 6.77146997e-07 2.42871529e-07
 1.53861149e+00 6.80876337e-07 2.56705635e-07
 1.56355746e+00 6.85091408e-07 2.63300743e-07
 1.58850213e+00 6.89813561e-07 2.66345700e-07
 1.61344942e+00 6.95393600e-07 2.66449370e-07
 1.63839667e+00 7.01444287e-07 2.68319876e-07
 1.66334262e+00 7.07221200e-07 2.67296172e-07
 1.68828722e+00 7.12848441e-07 2.69151132e-07
 1.71323311e+00 7.19023701e-07 2.74009771e-07
 1.73817638e+00 7.24980085e-07 2.75890380e-07
 1.76311568e+00 7.30656643e-07 2.77442834e-07
 1.78805234e+00 7.36724841e-07 2.78084980e-07
 1.81299028e+00 7.43112845e-07 2.76519238e-07
 1.83792821e+00 7.49808076e-07 2.73219966e-07
 1.86286352e+00 7.56069545e-07 2.71214900e-07
 1.88779750e+00 7.62580790e-07 2.69401559e-07
 1.91273147e+00 7.69326066e-07 2.66672088e-07
 1.93766276e+00 7.76236988e-07 2.69156576e-07
 1.96259403e+00 7.83589090e-07 2.70193083e-07
 1.98752267e+00 7.91343415e-07 2.68561940e-07
 2.01245126e+00 7.98720694e-07 2.72160567e-07
 2.03737722e+00 8.06029085e-07 2.73843808e-07
 2.06230055e+00 8.12871055e-07 2.79576579e-07
 2.08722649e+00 8.18791087e-07 2.77108002e-07
 2.11215241e+00 8.24572875e-07 2.75064607e-07
 2.13707570e+00 8.30542878e-07 2.74315551e-07
 2.16199768e+00 8.36299588e-07 2.72423906e-07
