# x	0	0.1	0.16	0.23	0.33	0.53	0.59	0.77	1
# area 2.966   2.352 2.305 2.000 1.973 1.433 1.478 1.600 1.574
528.6203	4.16002e-06	0.0035	0.0025	0.0052	0.0193	0.0266	0.026	0.033	0.0513
528.6249	3.49396e-06	0.0035	0.0025	0.0054	0.0194	0.0268	0.0267	0.0333	0.0522
528.6294	-9e-07	0.0035	0.0024	0.0054	0.0196	0.027	0.0267	0.0336	0.053
528.6613	-5e-05	0.0035	0.0023	0.0064	0.0207	0.0287	0.0298	0.0365	0.0596
528.6705	-9e-05	0.0035	0.0023	0.0066	0.0211	0.0292	0.0304	0.0373	0.0616
528.675	-9e-05	0.0035	0.0024	0.0066	0.0213	0.0294	0.0304	0.0377	0.0626
528.6933	-0.0001	0.0035	0.0028	0.0071	0.0219	0.0306	0.0323	0.0393	0.0679
528.707	-0.0002	0.0036	0.003	0.0073	0.0226	0.0313	0.0335	0.0406	0.0724
528.7252	-0.0002	0.0037	0.0036	0.0078	0.0233	0.0323	0.0348	0.0424	0.0784
528.7754	-0.0002	0.0042	0.0058	0.0087	0.0256	0.036	0.0398	0.0477	0.0961
528.7845	-0.0002	0.0043	0.0062	0.0089	0.026	0.0367	0.0411	0.0487	0.0999
528.8073	-0.0002	0.0047	0.0069	0.0095	0.0268	0.0387	0.0436	0.0521	0.1098
528.8255	-0.0002	0.0051	0.008	0.0101	0.0273	0.0404	0.0461	0.0546	0.1173
528.8301	-0.0002	0.0052	0.008	0.0101	0.0275	0.0409	0.0468	0.0553	0.1198
528.8347	-0.0002	0.0052	0.0084	0.0101	0.0277	0.0413	0.0474	0.0559	0.121
528.8848	3e-05	0.0065	0.0099	0.0118	0.0298	0.0479	0.0574	0.0664	0.1471
528.8894	3e-05	0.0066	0.0101	0.0118	0.0302	0.0484	0.058	0.0672	0.1498
528.8985	0.0001	0.0068	0.0103	0.0123	0.0305	0.0495	0.0606	0.0697	0.1552
528.9076	0.0002	0.0069	0.0105	0.0127	0.0312	0.0511	0.0625	0.0723	0.1606
528.9168	0.0003	0.0071	0.0106	0.0132	0.032	0.0522	0.0644	0.074	0.166
528.9304	0.0004	0.0073	0.0109	0.0137	0.0334	0.0545	0.067	0.0784	0.1744
528.9624	0.0007	0.0076	0.0116	0.0155	0.0365	0.0601	0.0736	0.0876	0.1958
528.9715	0.0008	0.0077	0.0118	0.0161	0.0376	0.0622	0.0757	0.0905	0.2029
528.9806	0.0009	0.0077	0.0121	0.0168	0.0387	0.0635	0.0771	0.0933	0.2097
528.9897	0.001	0.0078	0.0122	0.0168	0.0399	0.0657	0.0792	0.0963	0.2179
528.9943	0.0011	0.0078	0.0124	0.0176	0.0405	0.0665	0.08	0.0982	0.222
529.0034	0.0013	0.0079	0.0125	0.0183	0.0411	0.0687	0.0822	0.1022	0.2301
529.0308	0.0016	0.0082	0.0134	0.0207	0.0446	0.0751	0.0892	0.1135	0.2513
529.0399	0.0017	0.0084	0.0138	0.0215	0.0458	0.0767	0.0917	0.1177	0.2586
529.049	0.0018	0.0086	0.0141	0.0223	0.047	0.0792	0.0941	0.122	0.2675
529.0673	0.002	0.0088	0.0147	0.0248	0.0488	0.0833	0.1001	0.1295	0.2883
529.0718	0.002	0.009	0.015	0.0248	0.0495	0.085	0.1018	0.1316	0.2926
529.081	0.0021	0.0091	0.0154	0.0256	0.0507	0.0874	0.1044	0.1359	0.3026
529.0946	0.0022	0.0094	0.016	0.0272	0.0527	0.0907	0.1088	0.1424	0.3167
529.1038	0.0022	0.0097	0.0162	0.0288	0.0541	0.0932	0.1115	0.1478	0.3253
